GENE             CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
Zm00001eb118740    3    1255043    1309858      1       1  3107     -0.29888      0.61748         0.61627         0.61627
Zm00001eb118750    3    1281082    1332082     21      16  3107      0.86732      0.19288         0.52842        0.074782
Zm00001eb118760    3    1286341    1339009     21      16  3107      0.86732      0.19288         0.52842        0.074782
Zm00001eb118770    3    1292367    1343712     21      16  3107      0.86732      0.19288         0.52842        0.074782
Zm00001eb118780    3    1364625    1415742     15      12  3107      -1.2658       0.8972         0.92536         0.80884
Zm00001eb118790    3    1369066    1421163     15      12  3107      -1.2658       0.8972         0.92536         0.80884
Zm00001eb118800    3    1373467    1425201     15      12  3107      -1.2658       0.8972         0.92536         0.80884
Zm00001eb118810    3    1374220    1425197     15      12  3107      -1.2658       0.8972         0.92536         0.80884
Zm00001eb118820    3    1375418    1428135     15      12  3107      -1.2658       0.8972         0.92536         0.80884
Zm00001eb118830    3    1379952    1433027     32      22  3107        1.394     0.081656         0.26884         0.03377
Zm00001eb118840    3    1403523    1454810     23      13  3107        2.201     0.013868        0.026733        0.017178
Zm00001eb118850    3    1435473    1490590     31      20  3107      0.44395      0.32854         0.26421         0.39441
Zm00001eb118860    3    1440358    1491516     31      20  3107      0.44395      0.32854         0.26421         0.39441
Zm00001eb118870    3    1509784    1563912      3       3  3107      -1.9726      0.97573         0.97539         0.97184
Zm00001eb118880    3    1512879    1567296      3       3  3107      -1.9726      0.97573         0.97539         0.97184
Zm00001eb118900    3    1562187    1616959     86      50  3107      0.48472      0.31394         0.45635         0.20635
Zm00001eb118910    3    1575135    1626849     86      50  3107      0.48472      0.31394         0.45635         0.20635
Zm00001eb118920    3    1577366    1628834     86      50  3107      0.48472      0.31394         0.45635         0.20635
Zm00001eb118930    3    1579012    1630806     86      50  3107      0.48472      0.31394         0.45635         0.20635
Zm00001eb118940    3    1634085    1688339     42      30  3107      0.17202      0.43171         0.41029         0.40691
Zm00001eb118950    3    1638801    1697108     84      44  3107     0.067754      0.47299         0.43816         0.43925
Zm00001eb118970    3    1650067    1704757     84      44  3107     0.067754      0.47299         0.43816         0.43925
Zm00001eb118980    3    1664791    1719972     80      39  3107      0.10357      0.45875         0.46927          0.3874
Zm00001eb118990    3    1694389    1746485     82      40  3107      -1.3096      0.90483         0.88581         0.80757
Zm00001eb119000    3    1698760    1752167     60      34  3107      -0.9293      0.82363         0.75785         0.76442
