# nonhuman = 1
GENE         CHR     START      STOP  NSNPS  NPARAM    N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
FBgn0025837    6    114370    136714      3       2  166      0.79312      0.21385         0.27478          0.1673
FBgn0025836    6    117449    150340     31       9  166     -0.15348      0.56099         0.48914         0.59103
FBgn0284435    6    130318    210663    196      12  166     -0.51538      0.69686         0.56763         0.77336
FBgn0025835    6    132731    158426     50       9  166     -0.20297      0.58042          0.5058         0.60109
FBgn0040373    6    233954    255856     61      10  166      -0.4626      0.67818         0.78997          0.5356
FBgn0040372    6    235978    264650     84      11  166     -0.62662      0.73455         0.83734         0.58999
FBgn0259722    6    244876    265524     72       9  166     -0.72726      0.76647         0.92301         0.58604
FBgn0000316    6    245674    268469     72       8  166      -0.5932      0.72348         0.90046         0.53383
FBgn0261446    6    248335    273999     83      10  166     -0.78316      0.78323         0.92956         0.60357
FBgn0029518    6    255724    277028     75      10  166     -0.82144       0.7943         0.95928         0.60718
FBgn0005427    6    258509    289718    113      12  166      -2.1046      0.98234         0.98308         0.96099
FBgn0024989    6    269703    360504    344      24  166      -1.3351      0.90908         0.79749         0.97029
FBgn0040370    6    273186    304962     93      13  166      -1.4496      0.92641          0.9608         0.85596
FBgn0040371    6    297684    318935     43      10  166     -0.24824      0.59803         0.49618         0.66787
FBgn0029521    6    305123    326566     41      11  166     -0.23675      0.59358         0.48867         0.67508
FBgn0052816    6    306576    480726    905      29  166      -1.2588      0.89595         0.83366         0.90713
FBgn0262810    6    340566    361133    161      17  166      -1.0164      0.84527         0.73047         0.91601
FBgn0262811    6    343067    363317    152      18  166      -1.1688      0.87875         0.77735         0.93236
FBgn0004034    6    346509    371245    151      16  166      -1.2253      0.88976         0.82309         0.92184
FBgn0000022    6    360031    380947    102      12  166     -0.34316      0.63426         0.76773         0.48714
FBgn0004170    6    386060    407497     99      13  166      -1.7556      0.96042         0.93976         0.95397
FBgn0002561    6    399721    420817     89      14  166     -0.94196      0.82689         0.72346         0.87938
FBgn0011822    6    426139    447448    149      14  166      -0.3115      0.62229         0.60926         0.57985
FBgn0000137    6    450747    473176    155      22  166       -1.329      0.90807         0.85609         0.90595
FBgn0010019    6    457057    479335    150      22  166       -1.366      0.91404         0.83364         0.93807
FBgn0266572    6    461019    486579    154      21  166      -1.2518      0.89467         0.81924          0.9299
FBgn0029522    6    466984    488191    120      18  166      -1.3833      0.91672         0.86697         0.93454
FBgn0052817    6    469066    490166    117      18  166      -1.3736      0.91522         0.87125         0.92761
FBgn0029524    6    471862    492768    112      18  166      -1.4181      0.92192         0.87351           0.938
FBgn0029525    6    472777    497581    139      22  166      -1.4998      0.93316          0.8796         0.94693
FBgn0023536    6    477878    500725    134      22  166      -1.7919      0.96342         0.91118         0.99051
FBgn0023537    6    480787    503495    131      23  166      -1.8346      0.96672          0.9371         0.96463
FBgn0023534    6    484614    506369    121      22  166      -1.6693      0.95247         0.92097         0.94643
FBgn0004648    6    486446    519072    157      23  166      -1.7451      0.95951         0.92612         0.95554
FBgn0260400    6    499235    533226    166      22  166     -0.92179      0.82168         0.75102         0.82275
FBgn0023535    6    499435    538028    184      20  166     -0.97784      0.83592         0.74878         0.85885
FBgn0024983    6    517941    540291    100      15  166     -0.44745      0.67273         0.57595         0.73134
FBgn0000108    6    520501    589044    520      21  166     -0.95249      0.82958         0.71003         0.88878
FBgn0261930    6    572121    608151    393      22  166     -0.94654      0.82806         0.73553         0.84659
FBgn0025633    6    575081    630195    588      22  166     -0.45139      0.67415         0.52979          0.7627
FBgn0029529    6    610717    631215    231      17  166      0.16152      0.43584         0.30012         0.58979
FBgn0016038    6    611530    633051    250      18  166      0.13391      0.44674         0.30443         0.61047
FBgn0025640    6    613468    634765    246      18  166      0.18874      0.42515         0.29875         0.56954
FBgn0026879    6    614757    635203    235      17  166       0.2095      0.41703         0.30436         0.54169
FBgn0025635    6    615542    638016    246      17  166      0.32271      0.37346         0.26573         0.50157
